replicate,temperature,seed,lattice_size,n_spins,coupling,field,boltzmann_constant,initial_state,burn_in_sweeps,production_sweeps,sample_every,n_recorded_samples,mean_total_energy,mean_energy_squared,mean_energy_per_spin,mean_signed_magnetisation,mean_magnetisation_squared,mean_absolute_magnetisation,mean_acceptance_fraction,first_half_mean_energy_per_spin,second_half_mean_energy_per_spin,first_half_mean_absolute_magnetisation,second_half_mean_absolute_magnetisation
3,3.0,23070,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-329.306,109843.464,-0.8232649999999999,-0.021890000000000007,0.0318836,0.14439999999999997,0.45887874999999995,-0.82556,-0.82097,0.14837999999999998,0.14042
3,3.5,23071,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-264.714,71303.752,-0.661785,0.004112500000000001,0.0160874875,0.1020625,0.54699875,-0.6592100000000001,-0.66436,0.10227000000000001,0.101855
4,1.5,23072,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-779.694,608108.04,-1.9492349999999998,0.9858499999999999,0.9720208,0.9858499999999999,0.013848750000000003,-1.9473200000000002,-1.9511500000000002,0.9853999999999998,0.9863
4,1.7,23073,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-757.964,574945.088,-1.89491,0.96842,0.9382480999999998,0.96842,0.029910000000000003,-1.89678,-1.89304,0.9694449999999999,0.967395
4,1.9,23074,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-724.42,525606.752,-1.8110499999999998,0.9383025,0.8815267625,0.9383025,0.0573375,-1.81154,-1.81056,0.93984,0.936765
4,2.05,23075,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-680.886,465077.224,-1.7022149999999998,0.8870950000000001,0.791277075,0.8870950000000001,0.09405625000000001,-1.69828,-1.70615,0.88312,0.8910699999999999
4,2.1,23076,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-661.53,439297.368,-1.6538249999999999,0.86412,0.7508871749999999,0.86412,0.1107775,-1.64289,-1.66476,0.854345,0.873895
4,2.15,23077,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-645.066,417899.688,-1.612665,0.8459099999999999,0.720204675,0.8459099999999999,0.1252025,-1.60507,-1.62026,0.8394649999999999,0.852355
4,2.2,23078,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-621.99,389293.944,-1.554975,0.7999625000000001,0.6513695624999999,0.7999625000000001,0.14703250000000004,-1.56426,-1.54569,0.8144000000000001,0.785525
4,2.23,23079,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-612.63,377276.856,-1.531575,0.80148,0.647778575,0.80148,0.15517250000000002,-1.53722,-1.5259299999999998,0.8040499999999999,0.7989100000000001
4,2.25,23080,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-588.548,348978.912,-1.47137,-0.7301825,0.5523609875,0.7301825,0.17796625,-1.45891,-1.48383,0.70826,0.752105
4,2.269185314213022,23081,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-594.434,355914.92,-1.4860849999999999,0.7565475,0.5868827125,0.7565824999999999,0.173875,-1.4781999999999997,-1.49397,0.7501749999999999,0.7629900000000001
4,2.29,23082,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-573.674,332371.4,-1.434185,-0.698965,0.5120833250000001,0.698965,0.19339749999999997,-1.46573,-1.4026399999999999,0.73914,0.65879
4,2.32,23083,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-546.108,301892.032,-1.3652699999999998,0.5726800000000001,0.41941702499999994,0.608875,0.21940750000000003,-1.4083299999999999,-1.32221,0.7037,0.51405
4,2.35,23084,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-508.838,261892.008,-1.272095,0.09072250000000003,0.2706638625000001,0.4656075,0.25425375,-1.29443,-1.2497600000000002,0.529625,0.40159000000000006
4,2.4,23085,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-491.194,244099.928,-1.227985,-0.2736375,0.2358548125,0.4270825,0.27265875,-1.24803,-1.20794,0.48535999999999996,0.368805
4,2.5,23086,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-457.59,212000.44,-1.143975,0.026679999999999992,0.166453175,0.34934,0.30754375000000006,-1.13313,-1.1548200000000002,0.313905,0.384775
4,2.7,23087,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-387.794,152069.528,-0.9694849999999999,-0.026122500000000003,0.0633391625,0.2073875,0.38522,-0.9772000000000001,-0.96177,0.224625,0.19015
4,3.0,23088,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-328.77,109457.496,-0.8219249999999999,-0.026375000000000003,0.029047049999999998,0.13315,0.46006125,-0.82347,-0.82038,0.130485,0.135815
4,3.5,23089,20,400,1.0,0.0,1.0,up,1000,2000,1,2000,-262.152,70048.592,-0.65538,0.00042500000000000074,0.012911925,0.091245,0.5488399999999999,-0.6528099999999999,-0.65795,0.09287000000000001,0.08962
